q0 q1 q2 q3 wx wy wz
-0.379839  0.709244 -0.287252   0.51979  0.108072   0.16511  0.105455
-0.379589  0.617252 -0.276688  0.631154    0.1019  0.167301  0.109906
-0.372648  0.622725 -0.275103  0.630607 0.0994635  0.166573  0.109982
-0.380396  0.622901 -0.276345  0.625241  0.100214  0.166205  0.109829
-0.387969  0.623036 -0.277528  0.619906  0.100961  0.165832  0.109674
-0.395427  0.623141 -0.278856  0.614469  0.101706  0.165457  0.109518
-0.402901   0.62321  -0.28009  0.608958  0.102448   0.16508  0.109362
-0.410257  0.623295  -0.28133  0.603362  0.103187  0.164701  0.109205
-0.417575  0.623275 -0.282574  0.597755  0.103922   0.16432  0.109047
-0.424785  0.623252  -0.28375  0.592116  0.104655  0.163936  0.108889
-0.432124  0.623234 -0.284871  0.586257  0.105385  0.163551   0.10873
-0.439354  0.623151  -0.28603  0.580377  0.106111  0.163163  0.108571
 -0.44644  0.622994 -0.287233  0.574515  0.106835  0.162774  0.108411
  -0.4536   0.62283 -0.288379  0.568479  0.107555  0.162383   0.10825
 -0.46063  0.622575 -0.289421  0.562543  0.108272  0.161989  0.108089
-0.467593  0.622281 -0.290561  0.556505  0.108987  0.161594  0.107927
-0.474522  0.621934 -0.291676  0.550411  0.109698  0.161197  0.107765
-0.481389  0.621656 -0.292751  0.544155  0.110406  0.160798  0.107602
-0.488243  0.621281 -0.293768  0.537894  0.111111  0.160397  0.107438
-0.495004  0.620855 -0.294814  0.531596  0.111813  0.159995  0.107274
-0.501733  0.620371 -0.295867  0.525229  0.112512   0.15959   0.10711
-0.508389  0.619908 -0.296919  0.518743  0.113208  0.159184  0.106945
  -0.5149  0.619461 -0.297934  0.512231    0.1139  0.158776   0.10678
-0.521397  0.618954 -0.298968  0.505628   0.11459  0.158366  0.106614
-0.527817  0.618361 -0.300064  0.498999  0.115276  0.157954  0.106447
-0.534154  0.617761 -0.301038  0.492369   0.11596  0.157541  0.106281
-0.540514  0.617083 -0.302065  0.485603   0.11664  0.157126  0.106114
-0.546665   0.61649 -0.303055  0.478806  0.117317  0.156709  0.105946
-0.552852  0.615773 -0.304059  0.471939  0.117991  0.156291  0.105778
-0.558918  0.615083    -0.305  0.465035  0.118662  0.155871  0.105609
-0.564905  0.614324 -0.306033  0.458073   0.11933  0.155449  0.105441
-0.570825  0.613581 -0.307107  0.450958  0.119994  0.155026  0.105271
-0.576664  0.612739 -0.308114  0.443932  0.120656  0.154601  0.105102
-0.582491  0.611863 -0.309038  0.436832  0.121314  0.154174  0.104932
-0.588283  0.610954 -0.309988  0.429611  0.121969  0.153746  0.104761
-0.593976  0.609987 -0.310912  0.422424  0.122621  0.153317  0.104591
-0.599673     0.609 -0.311802  0.415079   0.12327  0.152886   0.10442
-0.605275  0.608002 -0.312573  0.407767  0.123916  0.152453  0.104249
-0.610676  0.607017 -0.313417  0.400467  0.124558  0.152019  0.104077
-0.616119  0.605977 -0.314259  0.392977  0.125198  0.151584  0.103905
-0.621421  0.604902 -0.315138  0.385509  0.125834  0.151147  0.103733
-0.626715  0.603794 -0.315938  0.377947  0.126468  0.150708   0.10356
-0.631936  0.602623 -0.316753  0.370365  0.127098  0.150268  0.103388
-0.637086  0.601486 -0.317479  0.362689  0.127725  0.149827  0.103215
-0.642137  0.600252  -0.31831  0.355016  0.128349  0.149385  0.103041
-0.647178  0.598932 -0.319051  0.347343   0.12897  0.148941  0.102868
