q0 q1 q2 q3 wx wy wz
-0.00299987  0.00849963    0.601974    0.798465   0.0493765   -0.100257    0.150041
-0.00599312   0.0170101     0.60387    0.796879   0.0487512    -0.10051    0.150081
-0.00897927   0.0255306    0.605688    0.795242   0.0481242   -0.100761    0.150121
-0.0119578  0.0340603   0.607429   0.793554  0.0474954  -0.101008   0.150161
-0.0149283  0.0425984   0.609091   0.791815   0.046865  -0.101253     0.1502
-0.0178903  0.0511441   0.610676   0.790025  0.0462329  -0.101494   0.150239
-0.0208432  0.0596966   0.612182   0.788185  0.0455992  -0.101732   0.150277
-0.0237866  0.0682551   0.613609   0.786294  0.0449638  -0.101967   0.150314
-0.0267201  0.0768188   0.614958   0.784354  0.0443268  -0.102199   0.150351
-0.0296431  0.0853869   0.616229   0.782363  0.0436882  -0.102428   0.150388
-0.0325551  0.0939585   0.617421   0.780323   0.043048  -0.102654   0.150424
-0.0354557   0.102533   0.618534   0.778233  0.0424063  -0.102876    0.15046
-0.0383445   0.111109   0.619568   0.776093  0.0417631  -0.103096   0.150495
-0.0412209   0.119686   0.620523   0.773904  0.0411183  -0.103312    0.15053
-0.0440844   0.128264   0.621399   0.771666  0.0404721  -0.103525   0.150564
-0.0469346   0.136841   0.622195   0.769379  0.0398244  -0.103735   0.150597
-0.0497711   0.145417   0.622913   0.767044  0.0391752  -0.103941    0.15063
-0.0525933   0.153991   0.623552   0.764659  0.0385247  -0.104145   0.150663
-0.0554008   0.162561   0.624111   0.762227  0.0378727  -0.104345   0.150695
-0.0581931   0.171128   0.624591   0.759746  0.0372193  -0.104542   0.150726
-0.0609698    0.17969   0.624992   0.757218  0.0365646  -0.104735   0.150757
-0.0637304   0.188247   0.625314   0.754641  0.0359086  -0.104926   0.150787
-0.0664744   0.196798   0.625557   0.752018  0.0352512  -0.105113   0.150817
-0.0692014   0.205341    0.62572   0.749347  0.0345926  -0.105297   0.150846
-0.0719109   0.213876   0.625805   0.746629  0.0339327  -0.105477   0.150874
-0.0746024   0.222403    0.62581   0.743864  0.0332715  -0.105655   0.150902
-0.0772756    0.23092   0.625736   0.741053  0.0326091  -0.105829    0.15093
-0.0799299   0.239427   0.625583   0.738195  0.0319456  -0.105999   0.150957
-0.0825649   0.247923   0.625351   0.735291  0.0312808  -0.106167   0.150983
-0.0851802   0.256407    0.62504   0.732342  0.0306149  -0.106331   0.151009
-0.0877753   0.264877   0.624651   0.729347  0.0299478  -0.106492   0.151034
-0.0903497   0.273335   0.624183   0.726306  0.0292797  -0.106649   0.151058
-0.0929031   0.281777   0.623636   0.723221  0.0286104  -0.106803   0.151082
-0.095435  0.290205  0.623011  0.720091 0.0279401 -0.106954  0.151105
-0.0979449   0.298616   0.622307   0.716916  0.0272688  -0.107101   0.151128
-0.100432  0.307011  0.621526  0.713697 0.0265964 -0.107245   0.15115
-0.102897  0.315388  0.620666  0.710434 0.0259231 -0.107386  0.151171
-0.105339  0.323746  0.619728  0.707127 0.0252487 -0.107523  0.151192
-0.107756  0.332085  0.618713  0.703777 0.0245735 -0.107657  0.151212
 -0.11015  0.340404   0.61762  0.700384 0.0238973 -0.107788  0.151232
-0.112519  0.348702  0.616449  0.696948 0.0232202 -0.107915   0.15125
-0.114864  0.356978  0.615201   0.69347 0.0225422 -0.108039  0.151269
-0.117183  0.365232  0.613877  0.689949 0.0218634 -0.108159  0.151286
-0.119476  0.373462  0.612475  0.686386 0.0211837 -0.108276  0.151303
-0.121743  0.381668  0.610997  0.682782 0.0205033 -0.108389   0.15132
-0.123983  0.389849  0.609442  0.679136  0.019822 -0.108499  0.151335
-0.126197  0.398005  0.607811  0.675449   0.01914 -0.108606   0.15135
-0.128383  0.406134  0.606105  0.671722 0.0184573 -0.108709  0.151365
-0.130541  0.414235  0.604322  0.667954 0.0177739 -0.108809  0.151378
-0.132672  0.422309  0.602464  0.664146 0.0170898 -0.108905  0.151391
-0.134773  0.430354  0.600531  0.660299  0.016405 -0.108998  0.151404
-0.136846  0.438368  0.598523  0.656412 0.0157196 -0.109088  0.151415
-0.138889  0.446353   0.59644  0.652486 0.0150336 -0.109174  0.151426
-0.140903  0.454306  0.594284  0.648521  0.014347 -0.109256  0.151437
-0.142887  0.462227  0.592053  0.644518 0.0136598 -0.109335  0.151446
 -0.14484  0.470116  0.589748  0.640476 0.0129721 -0.109411  0.151456
-0.146762  0.477971   0.58737  0.636397 0.0122839 -0.109483  0.151464
-0.148654  0.485791  0.584919  0.632281 0.0115952 -0.109552  0.151472
-0.150513  0.493577  0.582395  0.628127  0.010906 -0.109617  0.151479
-0.152341  0.501326  0.579799  0.623937 0.0102164 -0.109679  0.151485
-0.154137  0.509039   0.57713  0.619711 0.0095264 -0.109737  0.151491
  -0.1559  0.516715   0.57439  0.615448  0.008836 -0.109792  0.151495
  -0.15763   0.524353   0.571579    0.61115 0.00814523  -0.109843     0.1515
 -0.159327   0.531951   0.568697   0.606817 0.00745412  -0.109891   0.151503
  -0.16099   0.539511   0.565744   0.602449 0.00676269  -0.109935   0.151506
 -0.162619   0.547029   0.562721   0.598046 0.00607098  -0.109976   0.151508
-0.164214  0.554507  0.559628  0.593609  0.005379 -0.110013   0.15151
 -0.165775   0.561943   0.556466   0.589139 0.00468679  -0.110047   0.151511
   -0.1673   0.569336   0.553235   0.584635 0.00399435  -0.110078   0.151511
 -0.168791   0.576686   0.549935   0.580098 0.00330173  -0.110104    0.15151
 -0.170245   0.583993   0.546568   0.575529 0.00260894  -0.110128   0.151509
 -0.171664   0.591254   0.543132   0.570927 0.00191602  -0.110148   0.151507
 -0.173047    0.59847    0.53963   0.566293 0.00122297  -0.110164   0.151505
  -0.174393     0.60564     0.53606    0.561628 0.000529842   -0.110177    0.151501
   -0.175703     0.612763     0.532425     0.556932 -0.000163355    -0.110186     0.151497
   -0.176976     0.619839     0.528724     0.552206 -0.000856593    -0.110192     0.151493
  -0.178211    0.626866    0.524957    0.547449 -0.00154985   -0.110194    0.151487
  -0.179409    0.633845    0.521125    0.542662 -0.00224309   -0.110193    0.151481
 -0.180569   0.640773    0.51723   0.537846 -0.0029363  -0.110189   0.151474
   -0.18169    0.647652     0.51327       0.533 -0.00362944    -0.11018    0.151467
  -0.182774     0.65448    0.509247    0.528126 -0.00432251   -0.110169    0.151459
  -0.183819    0.661256    0.505161    0.523224 -0.00501546   -0.110154     0.15145
  -0.184825     0.66798    0.501013    0.518294 -0.00570828   -0.110135     0.15144
  -0.185791    0.674651    0.496803    0.513337 -0.00640094   -0.110113     0.15143
  -0.186719    0.681268    0.492532    0.508352 -0.00709341   -0.110087    0.151419
  -0.187607    0.687831      0.4882    0.503341 -0.00778567   -0.110058    0.151407
 -0.188454    0.69434   0.483808   0.498304 -0.0084777  -0.110025   0.151395
  -0.189262    0.700792    0.479357    0.493241 -0.00916947   -0.109989    0.151382
   -0.19003    0.707189    0.474846    0.488153 -0.00986096    -0.10995    0.151368
 -0.190757   0.713529   0.470277    0.48304 -0.0105521  -0.109907   0.151354
-0.191443  0.719811  0.465651  0.477903 -0.011243  -0.10986  0.151339
 -0.192089   0.726036   0.460966   0.472741 -0.0119335   -0.10981   0.151323
 -0.192693   0.732201   0.456226   0.467556 -0.0126236  -0.109756   0.151306
 -0.193256   0.738308   0.451429   0.462348 -0.0133133  -0.109699   0.151289
 -0.193777   0.744355   0.446577   0.457117 -0.0140025  -0.109639   0.151272
 -0.194257   0.750341    0.44167   0.451863 -0.0146913  -0.109575   0.151253
 -0.194694   0.756267   0.436708   0.446588 -0.0153797  -0.109508   0.151234
  -0.19509    0.76213   0.431693   0.441291 -0.0160675  -0.109437   0.151214
 -0.195444   0.767932   0.426625   0.435974 -0.0167548  -0.109362   0.151193
 -0.195755   0.773671   0.421505   0.430636 -0.0174415  -0.109285   0.151172
 -0.196023   0.779346   0.416333   0.425278 -0.0181276  -0.109203    0.15115
 -0.196249   0.784958    0.41111     0.4199 -0.0188132  -0.109119   0.151128
 -0.196432   0.790506   0.405836   0.414503 -0.0194981  -0.109031   0.151105
 -0.196572   0.795988   0.400513   0.409087 -0.0201824  -0.108939   0.151081
-0.196669  0.801405  0.395141  0.403653 -0.020866 -0.108844  0.151056
 -0.196722   0.806756    0.38972     0.3982 -0.0215488  -0.108746   0.151031
-0.196732   0.81204  0.384251  0.392731 -0.022231 -0.108644  0.151005
 -0.196699   0.817258   0.378736   0.387245 -0.0229124  -0.108539   0.150979
 -0.196622   0.822408   0.373174   0.381742 -0.0235931   -0.10843   0.150952
 -0.196501   0.827489   0.367566   0.376223 -0.0242729  -0.108318   0.150924
 -0.196337   0.832503   0.361913   0.370688 -0.0249519  -0.108203   0.150895
 -0.196128   0.837447   0.356217   0.365138 -0.0256301  -0.108084   0.150866
