410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
13.46,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,157.02,29.39,5.96,76.12,6.9,6.29,3.28,1.09,1.74
13.46,24.19,25.14,20.12,24.6,26.77,19.02,27.91,91.52,156.65,28.34,5.96,76.12,6.9,7.19,3.28,1.09,1.74
13.46,24.19,25.14,20.12,24.6,26.77,19.02,27.91,90.3,158.12,29.39,5.96,76.12,6.9,6.29,3.28,1.09,1.74
13.46,24.19,25.14,20.12,24.6,26.77,19.02,27.91,91.52,158.12,29.39,5.96,76.12,6.9,7.19,3.28,1.09,1.74
13.46,24.19,25.14,20.12,24.6,26.77,19.02,27.91,91.52,158.12,29.39,5.96,76.12,6.9,7.19,3.28,0.54,1.74
13.46,24.19,25.14,20.12,24.6,26.77,18.6,27.91,90.3,158.48,29.39,5.96,76.12,6.9,7.19,3.28,1.09,1.74
13.46,24.19,25.14,20.12,24.6,26.77,18.6,27.91,91.52,158.12,29.39,5.96,76.12,6.9,7.19,3.28,0.54,1.74
13.46,24.19,25.14,20.12,24.6,26.77,19.02,27.91,90.3,158.48,29.39,5.96,76.12,6.9,7.19,3.28,1.09,1.74
13.46,24.19,25.14,20.12,24.6,26.77,19.02,27.91,90.3,158.48,29.39,5.96,76.12,7.77,6.29,3.28,0.54,1.74
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,154.82,29.39,5.96,74.41,6.9,6.29,3.28,0.54,1.74
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,154.09,29.39,5.96,74.41,6.9,7.19,3.28,0.54,1.74
12.62,22.26,32.59,19.21,20.88,23.34,13.1,22.91,75.66,152.63,28.34,5.96,74.41,6.9,5.39,3.28,0.54,1.74
13.46,34.84,69.85,26.52,32.06,20.59,16.48,24.58,56.13,161.78,38.83,6.62,14.54,4.31,7.19,4.37,1.09,1.74
2.52,34.84,265.41,94.21,16.4,12.36,9.3,11.25,30.51,22.69,20.99,3.97,5.13,3.45,3.59,5.46,1.63,1.74
2.52,55.16,357.61,64.02,16.4,8.92,8.45,8.33,23.18,15.01,19.94,2.65,3.42,3.45,3.59,5.46,1.09,0.87
1.68,35.81,249.58,56.71,13.42,11.67,10.57,10.83,36.61,14.27,19.94,3.97,5.13,3.45,3.59,4.37,1.09,0.87
2.52,31.94,176.01,58.54,15.66,13.73,12.26,14.58,40.27,18.67,16.79,4.3,5.99,3.45,3.59,3.28,1.09,0.87
1.68,17.42,63.33,18.29,11.93,25.4,18.17,26.66,89.08,13.91,19.94,5.62,71.84,6.9,4.49,3.28,0.54,1.74
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.08,89.08,153.36,29.39,5.96,74.41,6.9,6.29,3.28,1.09,1.74
13.46,24.19,25.14,19.21,24.6,26.08,18.17,27.08,89.08,156.29,28.34,5.62,75.27,6.9,6.29,3.28,0.54,1.74
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,152.99,28.34,5.96,74.41,6.9,6.29,3.28,0.54,1.74
11.77,19.35,21.42,16.46,19.39,18.53,8.88,13.75,31.73,142.74,13.64,2.65,60.73,5.18,4.49,2.18,0.54,0.87
0.0,2.9,21.42,13.72,7.46,6.86,3.38,2.92,4.88,1.83,1.05,0.66,1.71,1.73,1.8,2.18,0.54,0.0
0.84,3.87,24.21,15.55,7.46,6.18,3.38,2.5,4.88,1.83,2.1,0.66,1.71,0.86,1.8,2.18,0.54,0.0
0.0,3.87,25.14,15.55,7.46,6.18,3.38,2.5,4.88,1.83,1.05,0.66,1.71,0.86,1.8,2.18,0.54,0.0
0.84,3.87,25.14,15.55,7.46,6.18,3.38,2.5,4.88,1.83,2.1,0.66,1.71,0.86,1.8,2.18,0.54,0.0
0.84,2.9,21.42,5.49,7.46,9.61,5.92,4.17,8.54,1.83,2.1,1.32,2.57,1.73,1.8,2.18,0.54,0.0
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,152.63,29.39,5.96,74.41,6.9,6.29,3.28,1.09,1.74
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,152.63,29.39,5.96,74.41,6.9,6.29,3.28,0.54,1.74
12.62,24.19,25.14,20.12,24.6,26.77,18.6,27.49,90.3,152.63,28.34,5.96,74.41,6.9,6.29,3.28,0.54,1.74
